_id,institution,campus,id,name
qAbb6EYiWk8mZbDiZ,uw.edu,seattle,TAGLG,TAGLG
qKNHRdjQtPE9CXgDH,uw.edu,seattle,NORW,NORW
qgizpWnoHk3aeR5dz,uw.edu,seattle,NUTR,NUTR
qt8NqXATc6tELAjn5,uw.edu,seattle,AIS,AIS
rcbX83LMDHejen5Au,uw.edu,seattle,ENGR,ENGR
s6kziZTTJm6YZpcr4,uw.edu,seattle,HONORS,HONORS
s8HHwELnDkGWecXGW,uw.edu,seattle,GREEK,GREEK
sS7GuWEaFx7XK3nxj,uw.edu,seattle,AAS,AAS
sXy3PTsxpLQHsbuqn,uw.edu,seattle,LABM,LABM
sccxXtv8vFT9rPtXx,uw.edu,seattle,EDSPE,EDSPE
tGJMkhw9QGLmSj9Wx,uw.edu,seattle,NCLIN,NCLIN
tKrtiYxWTtyujqFaY,uw.edu,seattle,BCS,BCS
tTPvEuHuBpwX8Az9b,uw.edu,seattle,SWA,SWA
tXM6ynXdhRkvYHiDX,uw.edu,seattle,LAWT,LAWT
uNGQ5g2vosQ5fQDdG,uw.edu,seattle,EDPSY,EDPSY
uQghpg53RGdEm9QKR,uw.edu,seattle,NURS,NURS
uQtA82NmvsdjmNqTs,uw.edu,seattle,STAT,STAT
uRDw9yNDuJmaHZW3H,uw.edu,seattle,PSYCH,PSYCH
ud2dQq2JKPazvQEgw,uw.edu,seattle,SOCWL,SOCWL
v9wZLoKSPHXCYj7sJ,uw.edu,seattle,ESRM,ESRM
vpSqPxbk5aywrETuS,uw.edu,seattle,ESS,ESS
vsKwSRWxf9SrMeiNA,uw.edu,seattle,ITAL,ITAL
wKXYLieab832AwNih,uw.edu,seattle,SPHSC,SPHSC
x9Bza8uW4EvNFkGKP,uw.edu,seattle,LAWE,LAWE
xPMhTs9Bpdw8r2Rza,uw.edu,seattle,LAWC,LAWC
xXca55N828wCZaFEP,uw.edu,seattle,NMETH,NMETH
xvRb4RErG5YdrqoxX,uw.edu,seattle,EDUC,EDUC
yCaDGWxz9jxmGhQcQ,uw.edu,seattle,EMBA,EMBA
yDi6sCRpec3Q4tgXm,uw.edu,seattle,EE,EE
yNpjA2dGpQDFKb23s,uw.edu,seattle,DENTPC,DENTPC
yRnwehJp6Z3rMJCxc,uw.edu,seattle,INFX,INFX
ynE9626qQey75gXtD,uw.edu,seattle,FINN,FINN
ze4974WyyiZGESGJ3,uw.edu,seattle,URBDP,URBDP
