_id,institution,campus,quarter,departmentId,departmentName,courseId,courseName,sectionsCount
ZHavmRBjuw5ezzRzY,uw.edu,seattle,AUTUMN,GERMAN,GERMAN,GERMAN101,GERMAN101,6
ZPcKgEJt9kfZMjpCQ,uw.edu,seattle,SUMMER,ANTH,ANTH,ANTH407,ANTH407,1
ZQGbFad93P8BgmspY,uw.edu,seattle,AUTUMN,MEDSCI,MEDSCI,MEDSCI520,MEDSCI520,1
ZXwEbz3hTEYnSzwQs,uw.edu,seattle,AUTUMN,NUTR,NUTR,NUTR559,NUTR559,1
ZYG9HQcGMxKCo2yPb,uw.edu,seattle,AUTUMN,IBUS,IBUS,IBUS462,IBUS462,1
ZbmptMYmYPW8CfnMZ,uw.edu,seattle,AUTUMN,ARCH,ARCH,ARCH590,ARCH590,1
ZkH43f75728cTG9eE,uw.edu,seattle,AUTUMN,REHAB,REHAB,REHAB511,REHAB511,1
ZmQSNRFA6pjXy4YdH,uw.edu,seattle,SUMMER,POLS,POLS,POLS436,POLS436,1
ZqnjiKd8DeTcrHfQh,uw.edu,seattle,AUTUMN,ECON,ECON,ECON472,ECON472,1
a3YmGobC9YuTCoST3,uw.edu,seattle,AUTUMN,CHEM,CHEM,CHEM464,CHEM464,1
a85BxfmEt4uHLQiu3,uw.edu,seattle,SUMMER,LAWB,LAWB,LAWB582,LAWB582,1
a89E2QrnmcanrZXhg,uw.edu,seattle,AUTUMN,ATMS,ATMS,ATMS220,ATMS220,2
a8eqD4WcuqxysKbWv,uw.edu,seattle,AUTUMN,GERMAN,GERMAN,GERMAN203,GERMAN203,1
aA4FP5MZisxHH6rS6,uw.edu,seattle,AUTUMN,LING,LING,LING461,LING461,1
aAu86Fn6qH97fJ87X,uw.edu,seattle,SUMMER,HSMGMT,HSMGMT,HSMGMT592,HSMGMT592,1
aCTmdAAGn6oR9wdFT,uw.edu,seattle,SUMMER,JSISA,JSISA,JSISA268,JSISA268,1
aDPiQB2LquLwF3zqN,uw.edu,seattle,SUMMER,JSIS,JSIS,JSIS123,JSIS123,1
aEXYXc36Ccw76LBWW,uw.edu,seattle,AUTUMN,SLAVIC,SLAVIC,SLAVIC110,SLAVIC110,1
aGTvP3v3qv4eJe6a8,uw.edu,seattle,AUTUMN,MUSIC,MUSIC,MUSIC414,MUSIC414,1
aLJSfT5Rb4ApJ2bzC,uw.edu,seattle,AUTUMN,CLAS,CLAS,CLAS427,CLAS427,1
aQndGJ2P7ivHmDftg,uw.edu,seattle,AUTUMN,INFO,INFO,INFO481,INFO481,2
aRAzvGRJ3NwrqiARB,uw.edu,seattle,SUMMER,ANTH,ANTH,ANTH369,ANTH369,1
aWcvRFZSaF6u42ib8,uw.edu,seattle,SUMMER,ANTH,ANTH,ANTH322,ANTH322,1
aWxz4aWxyjBscJp4H,uw.edu,seattle,SUMMER,POLS,POLS,POLS464,POLS464,1
aZGJJhMeJacf3TTLg,uw.edu,seattle,AUTUMN,ENGL,ENGL,ENGL329,ENGL329,1
aaidDoCfEf9FtPmst,uw.edu,seattle,AUTUMN,HSTAS,HSTAS,HSTAS212,HSTAS212,1
agzmH4kxBYgwntJRD,uw.edu,seattle,SUMMER,MATH,MATH,MATH301,MATH301,2
ahLhhZNRBsPPEpx4i,uw.edu,seattle,AUTUMN,NORW,NORW,NORW201,NORW201,1
ahkotTaD3E5XW7Qrd,uw.edu,seattle,AUTUMN,EARLY,EARLY,EARLYSCAND270,EARLYSCAND270,1
arX8H4HoNTdCLm5q5,uw.edu,seattle,SUMMER,CSE,CSE,CSE143,CSE143,1
axLz48M8HmCks6Wnk,uw.edu,seattle,SUMMER,AFRAM,AFRAM,AFRAM337,AFRAM337,1
azWBhPzFpdfzwusGh,uw.edu,seattle,AUTUMN,ESS,ESS,ESS472,ESS472,2
b3xJj8447gvBcAxoY,uw.edu,seattle,AUTUMN,SNKRT,SNKRT,SNKRT521,SNKRT521,1
b4m2QpY8tWppm2h9i,uw.edu,seattle,AUTUMN,LAWA,LAWA,LAWA561,LAWA561,6
b7Mp3dvr9yu4gvgYj,uw.edu,seattle,AUTUMN,LAWB,LAWB,LAWB516,LAWB516,4
b8qsHdYEkp6tFcFCD,uw.edu,seattle,SUMMER,CHIN,CHIN,CHIN134,CHIN134,1
bBppLQSg278RvLaGa,uw.edu,seattle,SUMMER,BIOL,BIOL,BIOL180,BIOL180,2
bDMvgjGz4QZbFm5jb,uw.edu,seattle,SUMMER,POLS,POLS,POLS333,POLS333,1
bEo8AYr2Bp8ewbjSH,uw.edu,seattle,SUMMER,ENGL,ENGL,ENGL250,ENGL250,1
bMwkySHrNNqZAu6af,uw.edu,seattle,AUTUMN,OPMGT,OPMGT,OPMGT502,OPMGT502,4
bSvJfL6GAi3g43tDf,uw.edu,seattle,SUMMER,POLS,POLS,POLS246,POLS246,1
bWb2XgWK5HfydB6jj,uw.edu,seattle,SUMMER,GREEK,GREEK,GREEK304,GREEK304,1
bXikfbezWbfrXz2X7,uw.edu,seattle,AUTUMN,ASIAN,ASIAN,ASIAN498,ASIAN498,1
bYYKab7PYM7EXWEuQ,uw.edu,seattle,AUTUMN,PSYCH,PSYCH,PSYCH300,PSYCH300,1
bbv6KXE2rv9gCiwCT,uw.edu,seattle,AUTUMN,CS&SS,CS&SS,CS&SS221,CS&SS221,1
bcfS8weNNCYAjdwEH,uw.edu,seattle,AUTUMN,MATH,MATH,MATH307,MATH307,14
bfw4BPtFJ6qMqgpRG,uw.edu,seattle,SUMMER,ENGL,ENGL,ENGL302,ENGL302,1
bgaKHaHbiBbY3dsnE,uw.edu,seattle,AUTUMN,AIS,AIS,AIS275,AIS275,1
bgt4ttPZrmtq83y65,uw.edu,seattle,AUTUMN,LAWA,LAWA,LAWA558,LAWA558,2
bj7LDAAJSsLvgMAGb,uw.edu,seattle,AUTUMN,MGMT,MGMT,MGMT402,MGMT402,1
buRpyWdDzKCTc9iKB,uw.edu,seattle,AUTUMN,CHEM,CHEM,CHEM458,CHEM458,1
buWa8xhvGpML6Hssj,uw.edu,seattle,AUTUMN,PHYS,PHYS,PHYS524,PHYS524,1
buwf4sHMFcSqau9cP,uw.edu,seattle,AUTUMN,COM,COM,COM362,COM362,1
bvK9T2jqDrGF7sTFP,uw.edu,seattle,AUTUMN,ACCTG,ACCTG,ACCTG411,ACCTG411,1
bvMFg4GhfXxGpQg6v,uw.edu,seattle,SUMMER,GERMAN,GERMAN,GERMAN100,GERMAN100,1
bxQobRuhpgt6FXg3Y,uw.edu,seattle,AUTUMN,MUSEUM,MUSEUM,MUSEUM562,MUSEUM562,2
c43NviSAkaWtmRaGJ,uw.edu,seattle,AUTUMN,CHIN,CHIN,CHIN301,CHIN301,2
c6qNvvt4GH84QFhWB,uw.edu,seattle,AUTUMN,MATH,MATH,MATH534,MATH534,1
cBt5Y6LeExxe3EiWm,uw.edu,seattle,SUMMER,COM,COM,COM459,COM459,1
cCn8AXtacNzgHYNMJ,uw.edu,seattle,AUTUMN,ESS,ESS,ESS471,ESS471,1
cCqmscMnPdyWpcwRA,uw.edu,seattle,SUMMER,LING,LING,LING461,LING461,1
cEZwnopD68cNhSF52,uw.edu,seattle,AUTUMN,EDLPS,EDLPS,EDLPS596,EDLPS596,1
cMA5zvSS5BDL84C55,uw.edu,seattle,SUMMER,BIOL,BIOL,BIOL355,BIOL355,2
cRHNPog9evArbibJH,uw.edu,seattle,AUTUMN,SOC,SOC,SOC275,SOC275,1
cemPszBdYdMvvKuxX,uw.edu,seattle,AUTUMN,CHEME,CHEME,CHEME484,CHEME484,1
cfrrw785D9uzBJZyo,uw.edu,seattle,SUMMER,POLS,POLS,POLS304,POLS304,1
cibRGfrtXniEb4ewG,uw.edu,seattle,AUTUMN,MATH,MATH,MATH561,MATH561,1
cit5LvRQw5D6p3sjz,uw.edu,seattle,SUMMER,PHIL,PHIL,PHIL242,PHIL242,2
cokmELTgXZYNbPLPm,uw.edu,seattle,AUTUMN,ESRM,ESRM,ESRM428,ESRM428,1
crdyjNm7pR9cu2h37,uw.edu,seattle,AUTUMN,SOC,SOC,SOC362,SOC362,1
cxGu9zhNzywr3q48L,uw.edu,seattle,AUTUMN,HSTAA,HSTAA,HSTAA301,HSTAA301,1
d2sdnzW7PtsuZS33J,uw.edu,seattle,SUMMER,MATH,MATH,MATH300,MATH300,1
d2smLYnM2z4ikff6q,uw.edu,seattle,SUMMER,MATH,MATH,MATH340,MATH340,1
d4Hr6DBu3ysJEK3Dx,uw.edu,seattle,AUTUMN,MATH,MATH,MATH567,MATH567,1
d7s8oGQdzGTJ2FC8c,uw.edu,seattle,SUMMER,MICROM,MICROM,MICROM301,MICROM301,1
d8rgC4e6dN2eERQ75,uw.edu,seattle,SUMMER,ENVIR,ENVIR,ENVIR495,ENVIR495,3
d8tBoqRWtwmicSnjs,uw.edu,seattle,SUMMER,HSTAA,HSTAA,HSTAA490,HSTAA490,1
dDnA7KQL34CMjp4HR,uw.edu,seattle,SUMMER,SOC,SOC,SOC374,SOC374,1
dFCQ8kmW4oQeFRxQ8,uw.edu,seattle,AUTUMN,EDPSY,EDPSY,EDPSY575,EDPSY575,1
dHLpzKx2cbdit24Ha,uw.edu,seattle,AUTUMN,CSE,CSE,CSE521,CSE521,1
dNq5LMF6renGhtJra,uw.edu,seattle,SUMMER,BIOL,BIOL,BIOL317,BIOL317,1
dTkH7RydagDkvwZQi,uw.edu,seattle,SUMMER,CHEM,CHEM,CHEM110,CHEM110,1
dYkop9jwWNhCTxxcc,uw.edu,seattle,AUTUMN,RELIG,RELIG,RELIG490,RELIG490,1
dZseA9dBbBuvpRgL5,uw.edu,seattle,SUMMER,GREEK,GREEK,GREEK404,GREEK404,1
dcjjGkoDNfDg9im8s,uw.edu,seattle,SUMMER,SCAND,SCAND,SCAND330,SCAND330,1
deLyLFmHQSnRWwfhK,uw.edu,seattle,SUMMER,EE,EE,EE331,EE331,1
desg27oh7W3Wnuhjc,uw.edu,seattle,AUTUMN,ANTH,ANTH,ANTH532,ANTH532,1
